"pokedex_number";"nome";"ataque";"defesa";"vida";"tipo 1";"tipo_2";"geracao";"lendario";"habilidades"
1;"Bulbasaur";49;49;45;"grass";"poison";1;0;"['Overgrow', 'Chlorophyll']"
2;"Ivysaur";62;63;60;"grass";"poison";1;0;"['Overgrow', 'Chlorophyll']"
3;"Venusaur";100;123;80;"grass";"poison";1;0;"['Overgrow', 'Chlorophyll']"
4;"Charmander";52;43;39;"fire";"";1;0;"['Blaze', 'Solar Power']"
5;"Charmeleon";64;58;58;"fire";"";1;0;"['Blaze', 'Solar Power']"
6;"Charizard";104;78;78;"fire";"flying";1;0;"['Blaze', 'Solar Power']"
7;"Squirtle";48;65;44;"water";"";1;0;"['Torrent', 'Rain Dish']"
8;"Wartortle";63;80;59;"water";"";1;0;"['Torrent', 'Rain Dish']"
9;"Blastoise";103;120;79;"water";"";1;0;"['Torrent', 'Rain Dish']"
10;"Caterpie";30;35;45;"bug";"";1;0;"['Shield Dust', 'Run Away']"
11;"Metapod";20;55;50;"bug";"";1;0;"['Shed Skin']"
12;"Butterfree";45;50;60;"bug";"flying";1;0;"['Compoundeyes', 'Tinted Lens']"
13;"Weedle";35;30;40;"bug";"poison";1;0;"['Shield Dust', 'Run Away']"
14;"Kakuna";25;50;45;"bug";"poison";1;0;"['Shed Skin']"
15;"Beedrill";150;40;65;"bug";"poison";1;0;"['Swarm', 'Sniper']"
16;"Pidgey";45;40;40;"normal";"flying";1;0;"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
17;"Pidgeotto";60;55;63;"normal";"flying";1;0;"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
18;"Pidgeot";80;80;83;"normal";"flying";1;0;"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
19;"Rattata";56;35;30;"normal";"dark";1;0;"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
20;"Raticate";71;70;75;"normal";"dark";1;0;"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
21;"Spearow";60;30;40;"normal";"flying";1;0;"['Keen Eye', 'Sniper']"
22;"Fearow";90;65;65;"normal";"flying";1;0;"['Keen Eye', 'Sniper']"
23;"Ekans";60;44;35;"poison";"";1;0;"['Intimidate', 'Shed Skin', 'Unnerve']"
24;"Arbok";95;69;60;"poison";"";1;0;"['Intimidate', 'Shed Skin', 'Unnerve']"
25;"Pikachu";55;40;35;"electric";"";1;0;"['Static', 'Lightningrod']"
26;"Raichu";85;50;60;"electric";"electric";1;0;"['Static', 'Lightningrod', 'Surge Surfer']"
27;"Sandshrew";75;90;50;"ground";"ice";1;0;"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
28;"Sandslash";100;120;75;"ground";"ice";1;0;"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
29;"Nidoran♀";47;52;55;"poison";"";1;0;"['Poison Point', 'Rivalry', 'Hustle']"
30;"Nidorina";62;67;70;"poison";"";1;0;"['Poison Point', 'Rivalry', 'Hustle']"
31;"Nidoqueen";92;87;90;"poison";"ground";1;0;"['Poison Point', 'Rivalry', 'Sheer Force']"
32;"Nidoran♂";57;40;46;"poison";"";1;0;"['Poison Point', 'Rivalry', 'Hustle']"
33;"Nidorino";72;57;61;"poison";"";1;0;"['Poison Point', 'Rivalry', 'Hustle']"
34;"Nidoking";102;77;81;"poison";"ground";1;0;"['Poison Point', 'Rivalry', 'Sheer Force']"
35;"Clefairy";45;48;70;"fairy";"";1;0;"['Cute Charm', 'Magic Guard', 'Friend Guard']"
36;"Clefable";70;73;95;"fairy";"";1;0;"['Cute Charm', 'Magic Guard', 'Unaware']"
37;"Vulpix";41;40;38;"fire";"ice";1;0;"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
38;"Ninetales";67;75;73;"fire";"ice";1;0;"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
39;"Jigglypuff";45;20;115;"normal";"fairy";1;0;"['Cute Charm', 'Competitive', 'Friend Guard']"
40;"Wigglytuff";70;45;140;"normal";"fairy";1;0;"['Cute Charm', 'Competitive', 'Frisk']"
41;"Zubat";45;35;40;"poison";"flying";1;0;"['Inner Focus', 'Infiltrator']"
42;"Golbat";80;70;75;"poison";"flying";1;0;"['Inner Focus', 'Infiltrator']"
43;"Oddish";50;55;45;"grass";"poison";1;0;"['Chlorophyll', 'Run Away']"
44;"Gloom";65;70;60;"grass";"poison";1;0;"['Chlorophyll', 'Stench']"
45;"Vileplume";80;85;75;"grass";"poison";1;0;"['Chlorophyll', 'Effect Spore']"
46;"Paras";70;55;35;"bug";"grass";1;0;"['Effect Spore', 'Dry Skin', 'Damp']"
47;"Parasect";95;80;60;"bug";"grass";1;0;"['Effect Spore', 'Dry Skin', 'Damp']"
48;"Venonat";55;50;60;"bug";"poison";1;0;"['Compoundeyes', 'Tinted Lens', 'Run Away']"
49;"Venomoth";65;60;70;"bug";"poison";1;0;"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
50;"Diglett";55;30;10;"ground";"ground";1;0;"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
51;"Dugtrio";100;60;35;"ground";"ground";1;0;"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
52;"Meowth";35;35;40;"normal";"dark";1;0;"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
53;"Persian";60;60;65;"normal";"dark";1;0;"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
54;"Psyduck";52;48;50;"water";"";1;0;"['Damp', 'Cloud Nine', 'Swift Swim']"
55;"Golduck";82;78;80;"water";"";1;0;"['Damp', 'Cloud Nine', 'Swift Swim']"
56;"Mankey";80;35;40;"fighting";"";1;0;"['Vital Spirit', 'Anger Point', 'Defiant']"
57;"Primeape";105;60;65;"fighting";"";1;0;"['Vital Spirit', 'Anger Point', 'Defiant']"
58;"Growlithe";70;45;55;"fire";"";1;0;"['Intimidate', 'Flash Fire', 'Justified']"
59;"Arcanine";110;80;90;"fire";"";1;0;"['Intimidate', 'Flash Fire', 'Justified']"
60;"Poliwag";50;40;40;"water";"";1;0;"['Water Absorb', 'Damp', 'Swift Swim']"
61;"Poliwhirl";65;65;65;"water";"";1;0;"['Water Absorb', 'Damp', 'Swift Swim']"
62;"Poliwrath";95;95;90;"water";"fighting";1;0;"['Water Absorb', 'Damp', 'Swift Swim']"
63;"Abra";20;15;25;"psychic";"";1;0;"['Synchronize', 'Inner Focus', 'Magic Guard']"
64;"Kadabra";35;30;40;"psychic";"";1;0;"['Synchronize', 'Inner Focus', 'Magic Guard']"
65;"Alakazam";50;65;55;"psychic";"";1;0;"['Synchronize', 'Inner Focus', 'Magic Guard']"
66;"Machop";80;50;70;"fighting";"";1;0;"['Guts', 'No Guard', 'Steadfast']"
67;"Machoke";100;70;80;"fighting";"";1;0;"['Guts', 'No Guard', 'Steadfast']"
68;"Machamp";130;80;90;"fighting";"";1;0;"['Guts', 'No Guard', 'Steadfast']"
69;"Bellsprout";75;35;50;"grass";"poison";1;0;"['Chlorophyll', 'Gluttony']"
70;"Weepinbell";90;50;65;"grass";"poison";1;0;"['Chlorophyll', 'Gluttony']"
71;"Victreebel";105;65;80;"grass";"poison";1;0;"['Chlorophyll', 'Gluttony']"
72;"Tentacool";40;35;40;"water";"poison";1;0;"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
73;"Tentacruel";70;65;80;"water";"poison";1;0;"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
74;"Geodude";80;100;40;"rock";"ground";1;0;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
75;"Graveler";95;115;55;"rock";"ground";1;0;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
76;"Golem";120;130;80;"rock";"ground";1;0;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
77;"Ponyta";85;55;50;"fire";"";1;0;"['Run Away', 'Flash Fire', 'Flame Body']"
78;"Rapidash";100;70;65;"fire";"";1;0;"['Run Away', 'Flash Fire', 'Flame Body']"
79;"Slowpoke";65;65;90;"water";"psychic";1;0;"['Oblivious', 'Own Tempo', 'Regenerator']"
80;"Slowbro";75;180;95;"water";"psychic";1;0;"['Oblivious', 'Own Tempo', 'Regenerator']"
81;"Magnemite";35;70;25;"electric";"steel";1;0;"['Magnet Pull', 'Sturdy', 'Analytic']"
82;"Magneton";60;95;50;"electric";"steel";1;0;"['Magnet Pull', 'Sturdy', 'Analytic']"
83;"Farfetch'd";90;55;52;"normal";"flying";1;0;"['Keen Eye', 'Inner Focus', 'Defiant']"
84;"Doduo";85;45;35;"normal";"flying";1;0;"['Run Away', 'Early Bird', 'Tangled Feet']"
85;"Dodrio";110;70;60;"normal";"flying";1;0;"['Run Away', 'Early Bird', 'Tangled Feet']"
86;"Seel";45;55;65;"water";"";1;0;"['Thick Fat', 'Hydration', 'Ice Body']"
87;"Dewgong";70;80;90;"water";"ice";1;0;"['Thick Fat', 'Hydration', 'Ice Body']"
88;"Grimer";80;50;80;"poison";"poison";1;0;"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
89;"Muk";105;75;105;"poison";"poison";1;0;"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
90;"Shellder";65;100;30;"water";"";1;0;"['Shell Armor', 'Skill Link', 'Overcoat']"
91;"Cloyster";95;180;50;"water";"ice";1;0;"['Shell Armor', 'Skill Link', 'Overcoat']"
92;"Gastly";35;30;30;"ghost";"poison";1;0;"['Levitate']"
93;"Haunter";50;45;45;"ghost";"poison";1;0;"['Levitate']"
94;"Gengar";65;80;60;"ghost";"poison";1;0;"['Cursed Body']"
95;"Onix";45;160;35;"rock";"ground";1;0;"['Rock Head', 'Sturdy', 'Weak Armor']"
96;"Drowzee";48;45;60;"psychic";"";1;0;"['Insomnia', 'Forewarn', 'Inner Focus']"
97;"Hypno";73;70;85;"psychic";"";1;0;"['Insomnia', 'Forewarn', 'Inner Focus']"
98;"Krabby";105;90;30;"water";"";1;0;"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
99;"Kingler";130;115;55;"water";"";1;0;"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
100;"Voltorb";30;50;40;"electric";"";1;0;"['Soundproof', 'Static', 'Aftermath']"
101;"Electrode";50;70;60;"electric";"";1;0;"['Soundproof', 'Static', 'Aftermath']"
102;"Exeggcute";40;80;60;"grass";"psychic";1;0;"['Chlorophyll', 'Harvest']"
103;"Exeggutor";105;85;95;"grass";"psychic";1;0;"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
